class,precision,recall,f1,support
dry_asphalt_severe,0.9316239316239316,0.9083333333333333,0.919831223628692,120.0
dry_asphalt_slight,0.8852459016393442,0.9,0.8925619834710744,120.0
dry_asphalt_smooth,0.9327731092436975,0.925,0.9288702928870293,120.0
dry_concrete_severe,0.813953488372093,0.875,0.8433734939759037,120.0
dry_concrete_slight,0.8571428571428571,0.75,0.8,120.0
dry_concrete_smooth,0.8925619834710744,0.9,0.8962655601659751,120.0
dry_gravel,0.8991596638655462,0.8916666666666667,0.895397489539749,120.0
dry_mud,0.95,0.95,0.95,120.0
fresh_snow,0.9752066115702479,0.9833333333333333,0.979253112033195,120.0
ice,0.975,0.975,0.975,120.0
melted_snow,0.9834710743801653,0.9916666666666667,0.9875518672199171,120.0
water_asphalt_severe,0.898989898989899,0.7416666666666667,0.8127853881278538,120.0
water_asphalt_slight,0.8062015503875969,0.8666666666666667,0.8353413654618473,120.0
water_asphalt_smooth,0.9416666666666667,0.9416666666666667,0.9416666666666667,120.0
water_concrete_severe,0.8091603053435115,0.8833333333333333,0.8446215139442231,120.0
water_concrete_slight,0.8448275862068966,0.8166666666666667,0.8305084745762712,120.0
water_concrete_smooth,0.8666666666666667,0.8666666666666667,0.8666666666666667,120.0
water_gravel,0.9411764705882353,0.9333333333333333,0.9372384937238494,120.0
water_mud,0.8923076923076924,0.9666666666666667,0.928,120.0
wet_asphalt_severe,0.9310344827586207,0.9,0.9152542372881356,120.0
wet_asphalt_slight,0.828125,0.8833333333333333,0.8548387096774194,120.0
wet_asphalt_smooth,0.904,0.9416666666666667,0.9224489795918367,120.0
wet_concrete_severe,0.926605504587156,0.8416666666666667,0.8820960698689956,120.0
wet_concrete_slight,0.8907563025210085,0.8833333333333333,0.8870292887029289,120.0
wet_concrete_smooth,0.8492063492063492,0.8916666666666667,0.8699186991869918,120.0
wet_gravel,0.9411764705882353,0.9333333333333333,0.9372384937238494,120.0
wet_mud,0.8916666666666667,0.8916666666666667,0.8916666666666667,120.0
